,date,home_team,score,away_tem
419,18-08-2023,Valencia,1 - 0,Las Palmas
420,25-08-2023,Las Palmas,0 - 0,Sociedad
421,03-09-2023,Girona,1 - 0,Las Palmas
422,17-09-2023,Sevilla,1 - 0,Las Palmas
423,24-09-2023,Las Palmas,1 - 0,Granada
424,27-09-2023,Real Madrid,2 - 0,Las Palmas
425,02-10-2023,Las Palmas,2 - 1,Celta
426,08-10-2023,Villarreal,1 - 2,Las Palmas
427,22-10-2023,Las Palmas,0 - 1,Vallecano
428,28-10-2023,Almeria,1 - 2,Las Palmas
429,03-11-2023,Las Palmas,2 - 1,Ath Madrid
430,11-11-2023,Osasuna,1 - 1,Las Palmas
431,26-11-2023,Betis,1 - 0,Las Palmas
432,01-12-2023,Las Palmas,2 - 0,Getafe
433,09-12-2023,Alaves,0 - 1,Las Palmas
434,17-12-2023,Las Palmas,1 - 1,Cadiz
435,20-12-2023,Ath Bilbao,1 - 0,Las Palmas
436,04-01-2024,Las Palmas,1 - 2,Barcelona
437,13-01-2024,Las Palmas,3 - 0,Villarreal
438,20-01-2024,Vallecano,0 - 2,Las Palmas
439,27-01-2024,Las Palmas,1 - 2,Real Madrid
440,03-02-2024,Granada,1 - 1,Las Palmas
441,10-02-2024,Las Palmas,2 - 0,Valencia
442,17-02-2024,Ath Madrid,5 - 0,Las Palmas
443,25-02-2024,Las Palmas,1 - 1,Osasuna
444,02-03-2024,Getafe,3 - 3,Las Palmas
445,10-03-2024,Las Palmas,0 - 2,Ath Bilbao
446,17-03-2024,Las Palmas,0 - 1,Almeria
447,30-03-2024,Barcelona,1 - 0,Las Palmas
448,14-04-2024,Las Palmas,0 - 2,Sevilla
449,20-04-2024,Celta,4 - 1,Las Palmas
450,27-04-2024,Las Palmas,0 - 2,Girona
451,04-05-2024,Sociedad,2 - 0,Las Palmas
452,11-05-2024,Mallorca,1 - 0,Las Palmas
453,16-05-2024,Las Palmas,2 - 2,Betis
454,19-05-2024,Cadiz,0 - 0,Las Palmas
455,26-05-2024,Las Palmas,1 - 1,Alaves
456,12-08-2023,Las Palmas,1 - 1,Mallorca
457,18-08-2023,Mallorca,0 - 1,Villarreal
458,26-08-2023,Granada,3 - 2,Mallorca
459,03-09-2023,Mallorca,0 - 0,Ath Bilbao
460,16-09-2023,Celta,0 - 1,Mallorca
461,23-09-2023,Girona,5 - 3,Mallorca
462,26-09-2023,Mallorca,2 - 2,Barcelona
463,30-09-2023,Vallecano,2 - 2,Mallorca
464,07-10-2023,Mallorca,1 - 1,Valencia
465,21-10-2023,Sociedad,1 - 0,Mallorca
466,28-10-2023,Mallorca,0 - 0,Getafe
467,04-11-2023,Betis,2 - 0,Mallorca
468,25-11-2023,Ath Madrid,1 - 0,Mallorca
469,29-11-2023,Mallorca,1 - 1,Cadiz
470,03-12-2023,Mallorca,0 - 0,Alaves
471,09-12-2023,Mallorca,1 - 0,Sevilla
472,17-12-2023,Almeria,0 - 0,Mallorca
473,21-12-2023,Mallorca,3 - 2,Osasuna
474,03-01-2024,Real Madrid,1 - 0,Mallorca
475,13-01-2024,Mallorca,1 - 1,Celta
476,20-01-2024,Villarreal,1 - 1,Mallorca
477,27-01-2024,Mallorca,0 - 1,Betis
478,02-02-2024,Ath Bilbao,4 - 0,Mallorca
479,11-02-2024,Mallorca,2 - 1,Vallecano
480,18-02-2024,Mallorca,1 - 2,Sociedad
481,24-02-2024,Alaves,1 - 1,Mallorca
482,03-03-2024,Mallorca,1 - 0,Girona
483,08-03-2024,Barcelona,1 - 0,Mallorca
484,16-03-2024,Mallorca,1 - 0,Granada
485,30-03-2024,Valencia,0 - 0,Mallorca
486,13-04-2024,Mallorca,0 - 1,Real Madrid
487,22-04-2024,Sevilla,2 - 1,Mallorca
488,28-04-2024,Cadiz,1 - 1,Mallorca
489,04-05-2024,Mallorca,0 - 1,Ath Madrid
490,11-05-2024,Mallorca,1 - 0,Las Palmas
491,14-05-2024,Osasuna,1 - 1,Mallorca
492,19-05-2024,Mallorca,2 - 2,Almeria
493,26-05-2024,Getafe,1 - 2,Mallorca
494,13-08-2023,Celta,0 - 2,Osasuna
495,19-08-2023,Osasuna,0 - 2,Ath Bilbao
496,27-08-2023,Valencia,1 - 2,Osasuna
497,03-09-2023,Osasuna,1 - 2,Barcelona
498,17-09-2023,Getafe,3 - 2,Osasuna
499,23-09-2023,Osasuna,0 - 0,Sevilla
500,28-09-2023,Osasuna,0 - 2,Ath Madrid
501,01-10-2023,Alaves,0 - 2,Osasuna
502,07-10-2023,Real Madrid,4 - 0,Osasuna
503,20-10-2023,Osasuna,2 - 0,Granada
504,29-10-2023,Betis,2 - 1,Osasuna
505,04-11-2023,Osasuna,2 - 4,Girona
506,11-11-2023,Osasuna,1 - 1,Las Palmas
507,26-11-2023,Villarreal,3 - 1,Osasuna
508,02-12-2023,Osasuna,1 - 1,Sociedad
509,10-12-2023,Cadiz,1 - 1,Osasuna
510,15-12-2023,Osasuna,1 - 0,Vallecano
511,21-12-2023,Mallorca,3 - 2,Osasuna
512,04-01-2024,Osasuna,1 - 0,Almeria
513,21-01-2024,Osasuna,3 - 2,Getafe
514,28-01-2024,Sevilla,1 - 1,Osasuna
515,31-01-2024,Barcelona,1 - 0,Osasuna
516,04-02-2024,Osasuna,0 - 3,Celta
517,10-02-2024,Sociedad,0 - 1,Osasuna
518,17-02-2024,Osasuna,2 - 0,Cadiz
519,25-02-2024,Las Palmas,1 - 1,Osasuna
520,04-03-2024,Osasuna,1 - 0,Alaves
521,09-03-2024,Girona,2 - 0,Osasuna
522,16-03-2024,Osasuna,2 - 4,Real Madrid
523,30-03-2024,Almeria,0 - 3,Osasuna
524,15-04-2024,Osasuna,0 - 1,Valencia
525,20-04-2024,Vallecano,2 - 1,Osasuna
526,28-04-2024,Granada,3 - 0,Osasuna
